,paths,slide_ids,targets,preds,probs
653,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-DM-A1DA-01A-01-TSA/TCGA-DM-A1DA-01A-01-TSA_X_3584_Y_1536.png,TCGA-DM-A1DA-01A-01-TSA,0,0,0.9800416827201843
990,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-CM-6167-01A-01-TS1/TCGA-CM-6167-01A-01-TS1_X_2560_Y_16384.png,TCGA-CM-6167-01A-01-TS1,0,0,0.9803316593170166
312,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-6603-01A-01-TS1/TCGA-AZ-6603-01A-01-TS1_X_3584_Y_4096.png,TCGA-AZ-6603-01A-01-TS1,0,0,0.9803706407546997
549,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-CA-6717-01A-01-TS1/TCGA-CA-6717-01A-01-TS1_X_14336_Y_13824.png,TCGA-CA-6717-01A-01-TS1,0,0,0.9807286858558655
69,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-G4-6321-01A-01-TS1/TCGA-G4-6321-01A-01-TS1_X_1024_Y_2048.png,TCGA-G4-6321-01A-01-TS1,0,0,0.981024980545044
601,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-4323-01A-01-BS1/TCGA-AZ-4323-01A-01-BS1_X_3584_Y_1024.png,TCGA-AZ-4323-01A-01-BS1,0,0,0.9816157221794128
43,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AA-A01X-01A-01-BS1/TCGA-AA-A01X-01A-01-BS1_X_16896_Y_512.png,TCGA-AA-A01X-01A-01-BS1,0,0,0.9816496968269348
287,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-G4-6588-01A-01-TS1/TCGA-G4-6588-01A-01-TS1_X_5120_Y_7168.png,TCGA-G4-6588-01A-01-TS1,0,0,0.9817028045654297
118,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-A6-6650-01A-01-TS1/TCGA-A6-6650-01A-01-TS1_X_5632_Y_0.png,TCGA-A6-6650-01A-01-TS1,0,0,0.9818115830421448
184,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-DM-A0X9-01A-01-TS1/TCGA-DM-A0X9-01A-01-TS1_X_3584_Y_4096.png,TCGA-DM-A0X9-01A-01-TS1,0,0,0.9818576574325562
639,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AA-3560-01A-01-BS1/TCGA-AA-3560-01A-01-BS1_X_3072_Y_1024.png,TCGA-AA-3560-01A-01-BS1,0,0,0.9821755290031433
822,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-6606-01A-01-BS1/TCGA-AZ-6606-01A-01-BS1_X_16384_Y_3584.png,TCGA-AZ-6606-01A-01-BS1,0,0,0.9822277426719666
549,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-A6-2682-01A-01-TS1/TCGA-A6-2682-01A-01-TS1_X_512_Y_3584.png,TCGA-A6-2682-01A-01-TS1,0,0,0.9824932813644409
546,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-CA-6717-01A-01-TS1/TCGA-CA-6717-01A-01-TS1_X_13824_Y_9216.png,TCGA-CA-6717-01A-01-TS1,0,0,0.9826148152351379
404,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-DM-A1DA-01A-01-TSA/TCGA-DM-A1DA-01A-01-TSA_X_11776_Y_1024.png,TCGA-DM-A1DA-01A-01-TSA,0,0,0.9827584624290466
665,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-6606-01A-01-BS1/TCGA-AZ-6606-01A-01-BS1_X_11776_Y_8704.png,TCGA-AZ-6606-01A-01-BS1,0,0,0.9828729033470154
188,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AA-A004-01A-01-MS1/TCGA-AA-A004-01A-01-MS1_X_20992_Y_5632.png,TCGA-AA-A004-01A-01-MS1,0,0,0.9829115867614746
1014,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-6606-01A-01-BS1/TCGA-AZ-6606-01A-01-BS1_X_2560_Y_3072.png,TCGA-AZ-6606-01A-01-BS1,0,0,0.9831066131591797
178,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-DM-A0X9-01A-01-TS1/TCGA-DM-A0X9-01A-01-TS1_X_3072_Y_4608.png,TCGA-DM-A0X9-01A-01-TS1,0,0,0.9834674000740051
566,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AZ-4323-01A-01-BS1/TCGA-AZ-4323-01A-01-BS1_X_1024_Y_1536.png,TCGA-AZ-4323-01A-01-BS1,0,0,0.9835740327835083
784,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AA-3815-01A-01-BS1/TCGA-AA-3815-01A-01-BS1_X_512_Y_2560.png,TCGA-AA-3815-01A-01-BS1,0,0,0.983600914478302
511,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-A6-2682-01A-01-TS1/TCGA-A6-2682-01A-01-TS1_X_1024_Y_2560.png,TCGA-A6-2682-01A-01-TS1,0,0,0.9837062358856201
267,/ssd_scratch/cvit/ashishmenon/COAD/test_data_for_expt/cancer/TCGA-AA-A029-01A-02-MS2/TCGA-AA-A029-01A-02-MS2_X_18432_Y_3072.png,TCGA-AA-A029-01A-02-MS2,0,0,0.9837794899940491
