,paths,slide_ids,targets,preds,probs
459,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-EJ-7115-01A-01-TS1/TCGA-EJ-7115-01A-01-TS1_X_2560_Y_1024.png,TCGA-EJ-7115-01A-01-TS1,0,0,0.9800508618354797
691,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-EJ-7330-01A-01-TS1/TCGA-EJ-7330-01A-01-TS1_X_14336_Y_12288.png,TCGA-EJ-7330-01A-01-TS1,0,0,0.980120837688446
1017,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-G9-6370-01A-01-TS1/TCGA-G9-6370-01A-01-TS1_X_7680_Y_4096.png,TCGA-G9-6370-01A-01-TS1,0,0,0.98015296459198
640,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-HC-A6AP-01A-01-TS1/TCGA-HC-A6AP-01A-01-TS1_X_5632_Y_1024.png,TCGA-HC-A6AP-01A-01-TS1,0,0,0.980195164680481
376,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-EJ-8472-01A-01-TS1/TCGA-EJ-8472-01A-01-TS1_X_3072_Y_4608.png,TCGA-EJ-8472-01A-01-TS1,0,0,0.980268657207489
741,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-ZG-A9M4-01A-01-TSA/TCGA-ZG-A9M4-01A-01-TSA_X_15360_Y_7680.png,TCGA-ZG-A9M4-01A-01-TSA,0,0,0.9803280234336853
260,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-XK-AAIW-01A-01-TS1/TCGA-XK-AAIW-01A-01-TS1_X_2560_Y_2048.png,TCGA-XK-AAIW-01A-01-TS1,0,0,0.9803736209869385
794,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-EJ-7789-01A-01-TS1/TCGA-EJ-7789-01A-01-TS1_X_10240_Y_11264.png,TCGA-EJ-7789-01A-01-TS1,0,0,0.9804799556732178
190,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-V1-A9O9-01A-01-TS1/TCGA-V1-A9O9-01A-01-TS1_X_2048_Y_2048.png,TCGA-V1-A9O9-01A-01-TS1,0,0,0.9805087447166443
513,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-ZG-A8QW-01A-01-TSA/TCGA-ZG-A8QW-01A-01-TSA_X_24576_Y_1024.png,TCGA-ZG-A8QW-01A-01-TSA,0,0,0.9805136322975159
985,/ssd_scratch/cvit/ashishmenon/PRAD/test_data_for_expt/cancer/TCGA-FC-A66V-01A-02-TSB/TCGA-FC-A66V-01A-02-TSB_X_19968_Y_4608.png,TCGA-FC-A66V-01A-02-TSB,0,0,0.9806393980979919
