,paths,slide_ids,targets,preds,probs
591,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-50-6597-01A-01-TS1/TCGA-50-6597-01A-01-TS1_X_9728_Y_8192.png,TCGA-50-6597-01A-01-TS1,0,0,0.9801441431045532
369,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-50-6597-01A-01-TS1/TCGA-50-6597-01A-01-TS1_X_10752_Y_4608.png,TCGA-50-6597-01A-01-TS1,0,0,0.9801527857780457
328,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-62-8394-01A-01-BS1/TCGA-62-8394-01A-01-BS1_X_3072_Y_2560.png,TCGA-62-8394-01A-01-BS1,0,0,0.9801541566848755
837,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-L9-A743-01A-04-TS4/TCGA-L9-A743-01A-04-TS4_X_6144_Y_2560.png,TCGA-L9-A743-01A-04-TS4,0,0,0.9806253910064697
1006,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-97-7554-01A-01-TS1/TCGA-97-7554-01A-01-TS1_X_512_Y_7168.png,TCGA-97-7554-01A-01-TS1,0,0,0.9806798696517944
993,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-50-5932-01A-01-BS1/TCGA-50-5932-01A-01-BS1_X_7680_Y_3072.png,TCGA-50-5932-01A-01-BS1,0,0,0.9807886481285095
439,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-91-7771-01A-01-TS1/TCGA-91-7771-01A-01-TS1_X_7168_Y_7168.png,TCGA-91-7771-01A-01-TS1,0,0,0.9809354543685913
275,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-49-6744-01A-01-BS1/TCGA-49-6744-01A-01-BS1_X_9728_Y_1536.png,TCGA-49-6744-01A-01-BS1,0,0,0.9810037016868591
783,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-86-8669-01A-01-BS1/TCGA-86-8669-01A-01-BS1_X_22528_Y_9728.png,TCGA-86-8669-01A-01-BS1,0,0,0.9810625910758972
187,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-49-6744-01A-01-BS1/TCGA-49-6744-01A-01-BS1_X_5632_Y_512.png,TCGA-49-6744-01A-01-BS1,0,0,0.9811757206916809
119,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-44-6779-01A-01-TS1/TCGA-44-6779-01A-01-TS1_X_7680_Y_5120.png,TCGA-44-6779-01A-01-TS1,0,0,0.9814888834953308
505,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-44-A47F-01A-01-TSA/TCGA-44-A47F-01A-01-TSA_X_17408_Y_2560.png,TCGA-44-A47F-01A-01-TSA,0,0,0.9815257787704468
84,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-44-6779-01A-01-TS1/TCGA-44-6779-01A-01-TS1_X_6656_Y_0.png,TCGA-44-6779-01A-01-TS1,0,0,0.9817219376564026
598,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-44-4112-01A-01-BS1/TCGA-44-4112-01A-01-BS1_X_512_Y_5632.png,TCGA-44-4112-01A-01-BS1,0,0,0.9817479252815247
343,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-73-7499-01A-01-BS1/TCGA-73-7499-01A-01-BS1_X_1024_Y_2048.png,TCGA-73-7499-01A-01-BS1,0,0,0.9818549156188965
475,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-93-A4JN-01A-01-TSA/TCGA-93-A4JN-01A-01-TSA_X_14336_Y_5120.png,TCGA-93-A4JN-01A-01-TSA,0,0,0.9821033477783203
757,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-55-6543-01A-01-TS1/TCGA-55-6543-01A-01-TS1_X_3072_Y_6144.png,TCGA-55-6543-01A-01-TS1,0,0,0.9821476936340332
368,/ssd_scratch/cvit/ashishmenon/LUAD/test_data_for_expt/cancer/TCGA-86-6562-01A-01-BS1/TCGA-86-6562-01A-01-BS1_X_14848_Y_512.png,TCGA-86-6562-01A-01-BS1,0,0,0.9822230339050293
