,paths,slide_ids,targets,preds,probs
121,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AG-3583-01A-01-TS1/TCGA-AG-3583-01A-01-TS1_X_1536_Y_1024.png,TCGA-AG-3583-01A-01-TS1,0,0,0.9800056219100952
746,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AH-6644-01A-01-BS1/TCGA-AH-6644-01A-01-BS1_X_5632_Y_6144.png,TCGA-AH-6644-01A-01-BS1,0,0,0.9800392985343933
318,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-F5-6702-01A-01-BS1/TCGA-F5-6702-01A-01-BS1_X_10752_Y_14848.png,TCGA-F5-6702-01A-01-BS1,0,0,0.9802646636962891
1008,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-F5-6810-01A-01-TS1/TCGA-F5-6810-01A-01-TS1_X_13824_Y_3584.png,TCGA-F5-6810-01A-01-TS1,0,0,0.9802676439285278
606,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AH-6643-01A-01-TS1/TCGA-AH-6643-01A-01-TS1_X_4096_Y_5120.png,TCGA-AH-6643-01A-01-TS1,0,0,0.9802737236022949
330,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AG-3896-01A-01-TS1/TCGA-AG-3896-01A-01-TS1_X_1536_Y_2048.png,TCGA-AG-3896-01A-01-TS1,0,0,0.9803385734558105
30,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AG-A01Y-01A-04-BS4/TCGA-AG-A01Y-01A-04-BS4_X_23040_Y_2048.png,TCGA-AG-A01Y-01A-04-BS4,0,0,0.9803395867347717
874,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-F5-6810-01A-01-TS1/TCGA-F5-6810-01A-01-TS1_X_10240_Y_3072.png,TCGA-F5-6810-01A-01-TS1,0,0,0.9804301261901855
539,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AH-6643-01A-01-TS1/TCGA-AH-6643-01A-01-TS1_X_0_Y_4608.png,TCGA-AH-6643-01A-01-TS1,0,0,0.9805246591567993
280,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-EI-6881-01A-01-TS1/TCGA-EI-6881-01A-01-TS1_X_512_Y_1024.png,TCGA-EI-6881-01A-01-TS1,0,0,0.9806022644042969
479,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-F5-6702-01A-01-BS1/TCGA-F5-6702-01A-01-BS1_X_16384_Y_13312.png,TCGA-F5-6702-01A-01-BS1,0,0,0.9806264042854309
303,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-AG-A026-01A-03-BS3/TCGA-AG-A026-01A-03-BS3_X_3584_Y_2048.png,TCGA-AG-A026-01A-03-BS3,0,0,0.9808247685432434
265,/ssd_scratch/cvit/ashishmenon/READ/test_data_for_expt/cancer/TCGA-EI-6881-01A-01-TS1/TCGA-EI-6881-01A-01-TS1_X_1536_Y_3072.png,TCGA-EI-6881-01A-01-TS1,0,0,0.9808336496353149
