,paths,slide_ids,targets,preds,probs
128,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8369-01A-01-TS1/TCGA-BR-8369-01A-01-TS1_X_8704_Y_14336.png,TCGA-BR-8369-01A-01-TS1,0,0,0.980016827583313
571,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-VQ-A8E7-01B-01-TS1/TCGA-VQ-A8E7-01B-01-TS1_X_20992_Y_1024.png,TCGA-VQ-A8E7-01B-01-TS1,0,0,0.9800907969474792
321,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-4191-01A-02-BS2/TCGA-BR-4191-01A-02-BS2_X_4096_Y_6656.png,TCGA-BR-4191-01A-02-BS2,0,0,0.9801788926124573
230,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8592-01A-01-BS1/TCGA-BR-8592-01A-01-BS1_X_21504_Y_8704.png,TCGA-BR-8592-01A-01-BS1,0,0,0.9801847338676453
578,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8286-01A-01-BS1/TCGA-BR-8286-01A-01-BS1_X_8192_Y_5120.png,TCGA-BR-8286-01A-01-BS1,0,0,0.9802525043487549
253,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-RD-A8N2-01A-01-TS1/TCGA-RD-A8N2-01A-01-TS1_X_3072_Y_4608.png,TCGA-RD-A8N2-01A-01-TS1,0,0,0.9802592992782593
649,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8060-01A-01-TS1/TCGA-BR-8060-01A-01-TS1_X_5120_Y_8704.png,TCGA-BR-8060-01A-01-TS1,0,0,0.9803054332733154
821,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8286-01A-01-BS1/TCGA-BR-8286-01A-01-BS1_X_1024_Y_12800.png,TCGA-BR-8286-01A-01-BS1,0,0,0.9804139733314514
452,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-4257-01A-01-BS1/TCGA-BR-4257-01A-01-BS1_X_1536_Y_1024.png,TCGA-BR-4257-01A-01-BS1,0,0,0.9804163575172424
948,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-7957-01A-01-TS1/TCGA-BR-7957-01A-01-TS1_X_14848_Y_11776.png,TCGA-BR-7957-01A-01-TS1,0,0,0.980422854423523
232,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-CD-5802-01A-01-TS1/TCGA-CD-5802-01A-01-TS1_X_2560_Y_2048.png,TCGA-CD-5802-01A-01-TS1,0,0,0.9804259538650513
938,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-7901-01A-01-TS1/TCGA-BR-7901-01A-01-TS1_X_10240_Y_9216.png,TCGA-BR-7901-01A-01-TS1,0,0,0.9804547429084778
470,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-BR-8286-01A-01-BS1/TCGA-BR-8286-01A-01-BS1_X_3584_Y_7680.png,TCGA-BR-8286-01A-01-BS1,0,0,0.9804639220237732
375,/ssd_scratch/cvit/ashishmenon/STAD/test_data_for_expt/cancer/TCGA-RD-A8NB-01A-01-TS1/TCGA-RD-A8NB-01A-01-TS1_X_2048_Y_3584.png,TCGA-RD-A8NB-01A-01-TS1,0,0,0.9804803133010864
