,paths,slide_ids,targets,preds,probs
813,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_29696_Y_8192.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9802479147911072
989,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-DD-AAD1-01A-01-TS1/TCGA-DD-AAD1-01A-01-TS1_X_2560_Y_512.png,TCGA-DD-AAD1-01A-01-TS1,0,0,0.9803212285041809
386,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-ED-A5KG-01A-01-TSA/TCGA-ED-A5KG-01A-01-TSA_X_19456_Y_2560.png,TCGA-ED-A5KG-01A-01-TSA,0,0,0.9803624749183655
90,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-K7-A6G5-01A-01-TS1/TCGA-K7-A6G5-01A-01-TS1_X_26112_Y_4608.png,TCGA-K7-A6G5-01A-01-TS1,0,0,0.9806358218193054
884,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-ED-A82E-01A-01-TSA/TCGA-ED-A82E-01A-01-TSA_X_19456_Y_5120.png,TCGA-ED-A82E-01A-01-TSA,0,0,0.9806488156318665
332,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-DD-A3A3-01A-01-TS1/TCGA-DD-A3A3-01A-01-TS1_X_5632_Y_3584.png,TCGA-DD-A3A3-01A-01-TS1,0,0,0.9807376265525818
910,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-MR-A520-01A-01-TS1/TCGA-MR-A520-01A-01-TS1_X_8704_Y_6656.png,TCGA-MR-A520-01A-01-TS1,0,0,0.9807490110397339
417,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-DD-A4NG-01A-01-TS1/TCGA-DD-A4NG-01A-01-TS1_X_21504_Y_3072.png,TCGA-DD-A4NG-01A-01-TS1,0,0,0.9807755947113037
822,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_30720_Y_6144.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9808781147003174
829,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_3072_Y_5632.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.980930745601654
833,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_3072_Y_7680.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9813848733901978
811,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-G3-A3CI-01A-01-TSA/TCGA-G3-A3CI-01A-01-TSA_X_3072_Y_3072.png,TCGA-G3-A3CI-01A-01-TSA,0,0,0.9814318418502808
830,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_3072_Y_6144.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9814985394477844
755,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_27648_Y_9728.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.981849730014801
917,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-DD-AAD0-01A-01-TS1/TCGA-DD-AAD0-01A-01-TS1_X_3584_Y_2560.png,TCGA-DD-AAD0-01A-01-TS1,0,0,0.9819820523262024
254,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-DD-AAVP-01A-01-TS1/TCGA-DD-AAVP-01A-01-TS1_X_22016_Y_5632.png,TCGA-DD-AAVP-01A-01-TS1,0,0,0.9823909401893616
557,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-ED-A627-01A-01-TSA/TCGA-ED-A627-01A-01-TSA_X_15360_Y_1024.png,TCGA-ED-A627-01A-01-TSA,0,0,0.9824495315551758
824,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-MR-A520-01A-01-TS1/TCGA-MR-A520-01A-01-TS1_X_2560_Y_2560.png,TCGA-MR-A520-01A-01-TS1,0,0,0.9825999140739441
807,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_29696_Y_3584.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9827501773834229
90,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-PD-A5DF-01A-01-TS1/TCGA-PD-A5DF-01A-01-TS1_X_9216_Y_6144.png,TCGA-PD-A5DF-01A-01-TS1,0,0,0.9828397631645203
614,/ssd_scratch/cvit/ashishmenon/LIHC/test_data_for_expt/cancer/TCGA-WX-AA46-01A-01-TS1/TCGA-WX-AA46-01A-01-TS1_X_1536_Y_4096.png,TCGA-WX-AA46-01A-01-TS1,0,0,0.9828528761863708
